Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
the-blush,,,,,,,,Wrist size,M · 18 cm,,,,,CB-BLUSH-M,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-blush,,,,,,,,Wrist size,L · 20 cm,,,,,CB-BLUSH-L,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-clarity,The Clarity,"<p><em>Clear quartz on its own: the blank page of the crystal world.</em></p><p>Eight-millimetre clear quartz, transparent with faint icy fractures, strung without any metal. Traditionally worn to amplify whatever intention you set and to keep the mind clear. Real stock from the studio, and once these are gone we will not restring them.</p><p><strong>Stones:</strong> Clear Quartz.<br><strong>Intention:</strong> Focus & Clarity.<br><strong>Affirmation:</strong> “I see clearly.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Focus, Calm, Clear Quartz, unisex, leaving soon",TRUE,Wrist size,S · 16 cm,,,,,CB-CLARITY-S,20,shopify,5,continue,manual,65,TRUE,TRUE,https://crystalbasket.store/images/products/the-clarity/main.jpg?v=d427869d,1,The Clarity — Focus Bracelet · Clear Quartz,The Clarity · Focus Bracelet · Clear Quartz,Clear quartz on its own: the blank page of the crystal world.,active
the-clarity,,,,,,,,Wrist size,M · 18 cm,,,,,CB-CLARITY-M,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-clarity,,,,,,,,Wrist size,L · 20 cm,,,,,CB-CLARITY-L,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-clear-sight,The Clear Sight,"<p><em>Cut the noise. Think one clean thought at a time.</em></p><p>Royal-blue lapis flecked with pyrite, spaced with icy clear quartz and gold-filled beads. Traditionally worn for mental sharpness, honest speech and seeing what is actually there.</p><p><strong>Stones:</strong> Lapis Lazuli, Clear Quartz.<br><strong>Intention:</strong> Focus & Clarity.<br><strong>Affirmation:</strong> “I see clearly and I speak the truth.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Focus, Confidence, Lapis Lazuli, Clear Quartz, unisex, gold accent",TRUE,Wrist size,S · 16 cm,,,,,CB-CLEARSIGHT-S,20,shopify,5,continue,manual,75,TRUE,TRUE,https://crystalbasket.store/images/products/the-clear-sight/main.jpg?v=3ef4f9f2,1,The Clear Sight — Focus Bracelet · Lapis Lazuli & Clear Quartz,The Clear Sight · Focus Bracelet · Lapis Lazuli & Clear Quartz,Cut the noise. Think one clean thought at a time.,active
the-clear-sight,,,,,,,,Wrist size,M · 18 cm,,,,,CB-CLEARSIGHT-M,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
the-clear-sight,,,,,,,,Wrist size,L · 20 cm,,,,,CB-CLEARSIGHT-L,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
the-devotion,The Devotion,"<p><em>For love that is chosen, daily, on purpose.</em></p><p>Blush rose quartz alternating with blue-sheen moonstone and three gold-filled beads. Traditionally worn for open-heartedness, paired with the intuition to know what the heart actually wants.</p><p><strong>Stones:</strong> Rose Quartz, Moonstone.<br><strong>Intention:</strong> Love & Self-Love.<br><strong>Affirmation:</strong> “I trust my heart and I follow it gently.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Love, Sleep, Rose Quartz, Moonstone, women, gold accent, bestseller",TRUE,Wrist size,S · 16 cm,,,,,CB-DEVOTION-S,20,shopify,0,deny,manual,90,TRUE,TRUE,https://crystalbasket.store/images/products/the-devotion/main.jpg?v=d3233c35,1,The Devotion — Love Bracelet · Rose Quartz & Moonstone,The Devotion · Love Bracelet · Rose Quartz & Moonstone,"For love that is chosen, daily, on purpose.",active
the-devotion,,,,,,,,Wrist size,M · 18 cm,,,,,CB-DEVOTION-M,20,shopify,0,deny,manual,90,TRUE,TRUE,,,,,,
the-devotion,,,,,,,,Wrist size,L · 20 cm,,,,,CB-DEVOTION-L,20,shopify,0,deny,manual,90,TRUE,TRUE,,,,,,
the-ember,The Ember,"<p><em>Carnelian alone. A small fire on the wrist.</em></p><p>Eight-millimetre carnelian in glossy burnt orange with soft natural banding, strung without any metal. Traditionally worn for courage, drive and creative energy. Real stock from the studio, and once these are gone we will not restring them.</p><p><strong>Stones:</strong> Carnelian.<br><strong>Intention:</strong> Confidence & Courage.<br><strong>Affirmation:</strong> “I move first.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Confidence, Abundance, Carnelian, unisex, leaving soon",TRUE,Wrist size,S · 16 cm,,,,,CB-EMBER-S,20,shopify,5,continue,manual,65,TRUE,TRUE,https://crystalbasket.store/images/products/the-ember/main.jpg?v=e732a304,1,The Ember — Confidence Bracelet · Carnelian,The Ember · Confidence Bracelet · Carnelian,Carnelian alone. A small fire on the wrist.,active
the-ember,,,,,,,,Wrist size,M · 18 cm,,,,,CB-EMBER-M,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-ember,,,,,,,,Wrist size,L · 20 cm,,,,,CB-EMBER-L,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-fortune,The Fortune,"<p><em>Tilt the odds, then walk through the door.</em></p><p>Sparkling sage aventurine paired with banded tiger's eye. Aventurine is traditionally worn for luck and new opportunities; tiger's eye for the confidence to take them.</p><p><strong>Stones:</strong> Green Aventurine, Tiger's Eye.<br><strong>Intention:</strong> Abundance & Wealth.<br><strong>Affirmation:</strong> “I say yes to what is meant for me.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Abundance, Confidence, Green Aventurine, Tiger's Eye, unisex",TRUE,Wrist size,S · 16 cm,,,,,CB-FORTUNE-S,20,shopify,5,continue,manual,75,TRUE,TRUE,https://crystalbasket.store/images/products/the-fortune/main.jpg?v=e7792cb0,1,The Fortune — Luck Bracelet · Green Aventurine & Tiger's Eye,The Fortune · Luck Bracelet · Green Aventurine & Tiger's Eye,"Tilt the odds, then walk through the door.",active
the-fortune,,,,,,,,Wrist size,M · 18 cm,,,,,CB-FORTUNE-M,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
the-fortune,,,,,,,,Wrist size,L · 20 cm,,,,,CB-FORTUNE-L,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
the-guardian,The Guardian,"<p><em>Walk into any room and leave with your own energy intact.</em></p><p>Matte black tourmaline strung with cool, mirror-bright hematite and a single 14k gold-filled bead. Traditionally worn to absorb heaviness from crowded days and hold a quiet boundary around you.</p><p><strong>Stones:</strong> Black Tourmaline, Hematite.<br><strong>Intention:</strong> Protection.<br><strong>Affirmation:</strong> “I am protected. What is not mine does not stay with me.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Protection, Grounding, Black Tourmaline, Hematite, unisex, gold accent",TRUE,Wrist size,S · 16 cm,,,,,CB-GUARDIAN-S,20,shopify,5,continue,manual,95,TRUE,TRUE,https://crystalbasket.store/images/products/the-guardian/main.jpg?v=bb213108,1,The Guardian — Protection Bracelet · Black Tourmaline & Hematite,The Guardian · Protection Bracelet · Black Tourmaline & Hematite,Walk into any room and leave with your own energy intact.,active
the-guardian,,,,,,,,Wrist size,M · 18 cm,,,,,CB-GUARDIAN-M,20,shopify,5,continue,manual,95,TRUE,TRUE,,,,,,
the-guardian,,,,,,,,Wrist size,L · 20 cm,,,,,CB-GUARDIAN-L,20,shopify,5,continue,manual,95,TRUE,TRUE,,,,,,
the-lionheart,The Lionheart,"<p><em>Nerve for the meeting, the pitch, the hard conversation.</em></p><p>Golden tiger's eye and burnt-orange carnelian, tiger's eye for the solar plexus and carnelian for the sacral. Traditionally worn for willpower, get-up-and-go and the courage to start before you feel ready.</p><p><strong>Stones:</strong> Tiger's Eye, Carnelian.<br><strong>Intention:</strong> Confidence & Courage.<br><strong>Affirmation:</strong> “I am bold. I back myself.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Confidence, Abundance, Tiger's Eye, Carnelian, unisex",TRUE,Wrist size,S · 16 cm,,,,,CB-LIONHEART-S,20,shopify,5,continue,manual,75,TRUE,TRUE,https://crystalbasket.store/images/products/the-lionheart/main.jpg?v=b2887966,1,The Lionheart — Confidence Bracelet · Tiger's Eye & Carnelian,The Lionheart · Confidence Bracelet · Tiger's Eye & Carnelian,"Nerve for the meeting, the pitch, the hard conversation.",active
the-lionheart,,,,,,,,Wrist size,M · 18 cm,,,,,CB-LIONHEART-M,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
the-lionheart,,,,,,,,Wrist size,L · 20 cm,,,,,CB-LIONHEART-L,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
the-prism,The Prism,"<p><em>Rainbow fluorite: every bead a different band of purple, green and blue.</em></p><p>Eight-millimetre rainbow fluorite, banded purple, green, blue and clear, strung without any metal. The study stone, traditionally worn for concentration, clear thinking and easier learning. Real stock from the studio, and once these are gone we will not restring them.</p><p><strong>Stones:</strong> Fluorite.<br><strong>Intention:</strong> Focus & Clarity.<br><strong>Affirmation:</strong> “I give this my full attention.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Focus, Calm, Fluorite, unisex, leaving soon",TRUE,Wrist size,S · 16 cm,,,,,CB-PRISM-S,20,shopify,5,continue,manual,75,TRUE,TRUE,https://crystalbasket.store/images/products/the-prism/main.jpg?v=c80e1818,1,The Prism — Focus Bracelet · Rainbow Fluorite,The Prism · Focus Bracelet · Rainbow Fluorite,"Rainbow fluorite: every bead a different band of purple, green and blue.",active
the-prism,,,,,,,,Wrist size,M · 18 cm,,,,,CB-PRISM-M,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
the-prism,,,,,,,,Wrist size,L · 20 cm,,,,,CB-PRISM-L,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
the-quiet,The Quiet,"<p><em>Deep banded amethyst for the end of the day.</em></p><p>Eight-millimetre amethyst with natural white banding through the purple, strung without any metal. The classic calming stone, traditionally worn to quiet an overactive mind and soften the evening. Real stock from the studio, and once these are gone we will not restring them.</p><p><strong>Stones:</strong> Amethyst.<br><strong>Intention:</strong> Calm & Ease.<br><strong>Affirmation:</strong> “I let the day settle.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Calm, Sleep, Amethyst, unisex, leaving soon",TRUE,Wrist size,S · 16 cm,,,,,CB-QUIET-S,20,shopify,5,continue,manual,65,TRUE,TRUE,https://crystalbasket.store/images/products/the-quiet/main.jpg?v=2716b48a,1,The Quiet — Calm Bracelet · Amethyst,The Quiet · Calm Bracelet · Amethyst,Deep banded amethyst for the end of the day.,active
the-quiet,,,,,,,,Wrist size,M · 18 cm,,,,,CB-QUIET-M,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-quiet,,,,,,,,Wrist size,L · 20 cm,,,,,CB-QUIET-L,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-root,The Root,"<p><em>Smoky quartz on its own: grounding without going all black.</em></p><p>Eight-millimetre smoky quartz, translucent warm brown, strung without any metal. Traditionally worn to release a heavy day and feel steady again. Real stock from the studio, and once these are gone we will not restring them.</p><p><strong>Stones:</strong> Smoky Quartz.<br><strong>Intention:</strong> Grounding & Stability.<br><strong>Affirmation:</strong> “I am here, and that is enough.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Grounding, Protection, Smoky Quartz, unisex, leaving soon",TRUE,Wrist size,S · 16 cm,,,,,CB-ROOT-S,20,shopify,5,continue,manual,65,TRUE,TRUE,https://crystalbasket.store/images/products/the-root/main.jpg?v=12be936c,1,The Root — Grounding Bracelet · Smoky Quartz,The Root · Grounding Bracelet · Smoky Quartz,Smoky quartz on its own: grounding without going all black.,active
the-root,,,,,,,,Wrist size,M · 18 cm,,,,,CB-ROOT-M,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-root,,,,,,,,Wrist size,L · 20 cm,,,,,CB-ROOT-L,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-seven,The Seven,"<p><em>All seven centres, in order, on one wrist.</em></p><p>Red jasper, carnelian, citrine, aventurine, lapis, amethyst and clear quartz set in the traditional root-to-crown order on matte black beads. Traditionally worn for overall balance.</p><p><strong>Stones:</strong> Red Jasper, Carnelian, Citrine, Green Aventurine, Lapis Lazuli, Amethyst, Clear Quartz.<br><strong>Intention:</strong> Grounding & Stability.<br><strong>Affirmation:</strong> “I am balanced. Energy moves freely through me.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Grounding, Calm, Focus, Red Jasper, Carnelian, Citrine, Green Aventurine, Lapis Lazuli, Amethyst, Clear Quartz, unisex",TRUE,Wrist size,S · 16 cm,,,,,CB-SEVEN-S,20,shopify,5,continue,manual,75,TRUE,TRUE,https://crystalbasket.store/images/products/the-seven/main.jpg?v=a8e5df6b,1,"The Seven — Chakra Bracelet · Seven Stones, Root to Crown","The Seven · Chakra Bracelet · Seven Stones, Root to Crown","All seven centres, in order, on one wrist.",active
the-seven,,,,,,,,Wrist size,M · 18 cm,,,,,CB-SEVEN-M,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
the-seven,,,,,,,,Wrist size,L · 20 cm,,,,,CB-SEVEN-L,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
the-shield,The Shield,"<p><em>One stone, one purpose. A clean black line around the wrist.</em></p><p>Polished eight-millimetre obsidian, nothing else. Volcanic glass with a deep mirror finish, traditionally worn as a shield and for the honesty to see what needs to go.</p><p><strong>Stones:</strong> Black Obsidian.<br><strong>Intention:</strong> Protection.<br><strong>Affirmation:</strong> “I release what no longer serves me.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Protection, Black Obsidian, men, bestseller, leaving soon",TRUE,Wrist size,S · 16 cm,,,,,CB-SHIELD-S,20,shopify,5,continue,manual,65,TRUE,TRUE,https://crystalbasket.store/images/products/the-shield/main.jpg?v=818d50e7,1,The Shield — Protection Bracelet · Black Obsidian,The Shield · Protection Bracelet · Black Obsidian,"One stone, one purpose. A clean black line around the wrist.",active
the-shield,,,,,,,,Wrist size,M · 18 cm,,,,,CB-SHIELD-M,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-shield,,,,,,,,Wrist size,L · 20 cm,,,,,CB-SHIELD-L,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-still-mind,The Still Mind,"<p><em>Turn the volume down on a loud mind.</em></p><p>Deep lilac amethyst with a single gold-filled bead. The classic calming stone, traditionally worn to quiet overthinking and settle a busy mind into the evening.</p><p><strong>Stones:</strong> Amethyst.<br><strong>Intention:</strong> Calm & Ease.<br><strong>Affirmation:</strong> “I am calm. I can hear myself think.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Calm, Sleep, Amethyst, unisex, gold accent",TRUE,Wrist size,S · 16 cm,,,,,CB-STILLMIND-S,20,shopify,5,continue,manual,65,TRUE,TRUE,https://crystalbasket.store/images/products/the-still-mind/main.jpg?v=94847876,1,The Still Mind — Calm Bracelet · Amethyst,The Still Mind · Calm Bracelet · Amethyst,Turn the volume down on a loud mind.,active
the-still-mind,,,,,,,,Wrist size,M · 18 cm,,,,,CB-STILLMIND-M,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-still-mind,,,,,,,,Wrist size,L · 20 cm,,,,,CB-STILLMIND-L,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-sunlit,The Sunlit,"<p><em>Natural honey citrine, warm as late afternoon.</em></p><p>Eight-millimetre natural citrine in honey and pale gold, strung without any metal. Traditionally worn for optimism, prosperity and the confidence to say yes. Real stock from the studio, and once these are gone we will not restring them.</p><p><strong>Stones:</strong> Citrine.<br><strong>Intention:</strong> Abundance & Wealth.<br><strong>Affirmation:</strong> “I welcome what is coming.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Abundance, Confidence, Citrine, unisex, leaving soon",TRUE,Wrist size,S · 16 cm,,,,,CB-SUNLIT-S,20,shopify,5,continue,manual,65,TRUE,TRUE,https://crystalbasket.store/images/products/the-sunlit/main.jpg?v=e0d77bd6,1,The Sunlit — Abundance Bracelet · Citrine,The Sunlit · Abundance Bracelet · Citrine,"Natural honey citrine, warm as late afternoon.",active
the-sunlit,,,,,,,,Wrist size,M · 18 cm,,,,,CB-SUNLIT-M,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-sunlit,,,,,,,,Wrist size,L · 20 cm,,,,,CB-SUNLIT-L,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-tender-heart,The Tender Heart,"<p><em>A reminder, worn on the wrist, that you are easy to love.</em></p><p>Soft eight-millimetre rose quartz in a gentle blush, finished with a gold-filled spacer. The stone of the heart, traditionally worn for compassion, tenderness and self-worth.</p><p><strong>Stones:</strong> Rose Quartz.<br><strong>Intention:</strong> Love & Self-Love.<br><strong>Affirmation:</strong> “I am worthy of the love I give.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Love, Calm, Rose Quartz, women, gold accent",TRUE,Wrist size,S · 16 cm,,,,,CB-TENDERHEART-S,20,shopify,5,continue,manual,65,TRUE,TRUE,https://crystalbasket.store/images/products/the-tender-heart/main.jpg?v=a7d16dc6,1,The Tender Heart — Love Bracelet · Rose Quartz,The Tender Heart · Love Bracelet · Rose Quartz,"A reminder, worn on the wrist, that you are easy to love.",active
the-tender-heart,,,,,,,,Wrist size,M · 18 cm,,,,,CB-TENDERHEART-M,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-tender-heart,,,,,,,,Wrist size,L · 20 cm,,,,,CB-TENDERHEART-L,20,shopify,5,continue,manual,65,TRUE,TRUE,,,,,,
the-vault,The Vault,"<p><em>Solid pyrite. Heavy, brassy and unbothered.</em></p><p>Eight-millimetre pyrite with its natural pitted, brassy surface, strung without any other metal. Fool's gold, traditionally worn for willpower, prosperity and a thicker skin. Real stock from the studio, and once these are gone we will not restring them.</p><p><strong>Stones:</strong> Pyrite.<br><strong>Intention:</strong> Abundance & Wealth.<br><strong>Affirmation:</strong> “I back myself.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Abundance, Confidence, Pyrite, men, leaving soon",TRUE,Wrist size,S · 16 cm,,,,,CB-VAULT-S,20,shopify,5,continue,manual,75,TRUE,TRUE,https://crystalbasket.store/images/products/the-vault/main.jpg?v=268246be,1,The Vault — Abundance Bracelet · Pyrite,The Vault · Abundance Bracelet · Pyrite,"Solid pyrite. Heavy, brassy and unbothered.",active
the-vault,,,,,,,,Wrist size,M · 18 cm,,,,,CB-VAULT-M,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
the-vault,,,,,,,,Wrist size,L · 20 cm,,,,,CB-VAULT-L,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
